citation_id,label,year,metric,value,ci_low,ci_high,se_log,weight,doi
135,COAPT (2018),2018,HR,0.53,0.4,0.7,0.1428,49.0673,10.1056/nejmoa1806640
5,SUMMIT (2025),2025,HR,0.62,0.41,0.95,0.2144,21.762,10.1056/nejmoa2410027
187,EMPHASIS-HF (2011),2011,HR,0.63,0.54,0.74,0.0804,154.7845,10.1056/nejmoa1009492
84,SOLOIST-WHF (2021),2021,HR,0.67,0.52,0.85,0.1254,63.6339,10.1056/nejmoa2030183
127,DAPA-HF (2019),2019,HR,0.74,0.65,0.85,0.0684,213.5243,10.1056/nejmoa1911303
114,EMPEROR-Reduced (2020),2020,HR,0.75,0.65,0.86,0.0714,196.056,10.1056/nejmoa2022190
96,EMPEROR-Preserved (2021),2021,HR,0.79,0.69,0.9,0.0678,217.66,10.1056/nejmoa2107038
175,PARADIGM-HF (2014),2014,HR,0.8,0.73,0.87,0.0448,499.197,10.1056/nejmoa1409077
77,DELIVER (2022),2022,HR,0.82,0.73,0.92,0.059,287.1517,10.1056/nejmoa2206286
42,FINEARTS-HF (2024),2024,RR,0.84,0.74,0.95,,,10.1056/nejmoa2407107
129,PARAGON-HF (2019),2019,RR,0.87,0.75,1.01,,,10.1056/nejmoa1908655
171,TOPCAT (2014),2014,HR,0.89,0.77,1.04,0.0767,170.0733,10.1056/nejmoa1313731
105,VICTORIA (2020),2020,HR,0.9,0.81,1.0,0.0538,346.064,10.1056/nejmoa1915928
102,PARADISE-MI (2021),2021,HR,0.9,0.78,1.04,0.0734,185.6721,10.1056/nejmoa2104508
100,GALACTIC-HF (2021),2021,HR,0.92,0.86,0.99,0.0359,775.4185,10.1056/nejmoa2025797
139,MITRA-FR (2018),2018,OR,1.16,0.73,1.84,,,10.1056/nejmoa1805374
pooled,Fixed-effect IV (I2=73.2%),,HR,0.823,0.795,0.852,,,
